frame#,Time (ns),14wt,88wt,88'wt,106wt,14mt,88mt,88'mt,106mt
368,36.8,3.761,2.605,2.674,3.382,7.402,3.006,2.599,4.547
369,36.9,2.865,2.212,2.592,3.658,6.587,3.181,3.011,4.207
370,37,3.273,2.759,2.318,3.895,7.048,2.981,2.898,4.198
371,37.1,3.376,2.989,2.487,3.596,7.275,2.886,3.396,4.06
372,37.2,2.961,2.881,2.304,3.652,7.044,2.82,3.079,4.094
373,37.3,3.541,2.942,2.416,3.424,6.732,3.33,3.273,2.924
374,37.4,3.882,2.709,2.504,4.003,7.028,3.083,3.372,2.901
375,37.5,3.65,3.061,2.004,3.663,7.261,3.043,3.048,3.037
376,37.6,3.28,3.04,2.318,3.253,7.091,2.766,2.946,3.072
377,37.7,3.061,2.934,2.439,3.399,7.648,3.054,2.832,2.992
378,37.8,3.439,2.904,2.311,3.311,7.201,3.235,3.231,4.297
379,37.9,3.885,3.095,2.515,3.572,7.046,3.256,2.976,3.449
380,38,2.438,3.018,2.161,3.836,6.883,2.741,2.414,4.405
381,38.1,3.076,2.807,2.573,3.336,6.996,2.588,3.425,4.422
382,38.2,3.388,3.071,2.328,3.553,7.032,2.686,3.002,4.326
383,38.3,3.266,2.982,2.203,3.262,6.404,2.991,3.187,4.391
384,38.4,3.001,2.68,1.927,3.441,6.664,2.965,3.48,3.863
385,38.5,2.963,3.123,2.162,3.587,7.622,3.297,3.387,4.445
386,38.6,3.631,2.987,2.317,3.599,7.508,2.607,3.08,4.008
387,38.7,2.95,2.928,2.302,3.828,7.532,2.996,3.31,4.139
388,38.8,3.529,2.555,2.534,3.587,6.765,3.044,3.273,4.099
389,38.9,3.033,2.625,2.251,3.183,6.704,3.192,3.187,4.234
390,39,3.095,2.874,2.316,3.835,7.312,3.125,2.898,4.523
391,39.1,3.227,2.829,2.428,3.674,7.165,2.793,3.02,4.051
392,39.2,1.575,2.337,2.076,3.849,7.771,2.87,3.442,3.828
393,39.3,2.088,1.938,2.565,3.72,7.911,3.034,3.507,3.863
394,39.4,2.394,2.701,2.333,3.344,7.615,3.28,3.471,4.321
395,39.5,2.096,3.261,2.414,3.279,7.782,2.859,3.271,4.383
396,39.6,3.15,3.042,1.969,3.74,7.413,2.703,3.153,4.419
397,39.7,3.031,2.95,2.503,3.325,7.367,3.103,3.278,3.267
398,39.8,2.774,2.809,2.418,3.292,7.735,2.966,3.165,2.926
399,39.9,3.453,2.83,2.496,3.599,7.506,2.741,3.182,2.863
400,40,3.179,2.674,2.583,3.684,7.757,2.892,2.932,2.808
401,40.1,2.853,3.173,2.15,3.997,7.568,2.946,3.067,3.059
402,40.2,2.736,2.944,2.177,3.362,7.656,2.83,3,2.836
403,40.3,2.068,2.664,2.044,3.47,7.789,3.15,3.343,2.891
404,40.4,2.713,2.631,2.327,3.131,7.969,3.036,3.621,2.717
405,40.5,2.133,3.189,2.286,3.264,7.669,2.691,2.828,2.98
406,40.6,2.158,2.892,1.467,3.629,8.131,2.848,3.006,3.318
407,40.7,2.797,2.998,1.65,3.589,8.054,2.864,3.205,3.033
408,40.8,0.99,2.969,1.704,3.583,8.334,3.045,3.02,4.158
409,40.9,1.163,2.973,2.101,3.539,7.702,2.817,2.931,3.489
410,41,2.364,2.13,1.986,2.885,8.079,2.771,3.294,3.182
411,41.1,2.69,2.842,2.197,2.989,7.887,2.767,3.101,2.841
412,41.2,1.892,2.664,2.416,3.13,7.532,2.85,2.975,3.091
413,41.3,2.283,2.715,2.115,2.497,7.327,2.886,2.908,3.147
414,41.4,2.464,2.725,2.582,2.938,8,2.931,3.637,2.765
415,41.5,2.148,2.907,2.564,2.985,8.038,2.684,3.376,3.107
416,41.6,2.221,2.738,2.723,2.862,7.819,2.586,3.053,2.753
417,41.7,2.481,2.521,2.238,2.457,8.003,2.695,3.227,3.05
418,41.8,2.482,2.526,2.412,2.638,7.767,2.502,3.451,2.792
419,41.9,2.845,2.44,2.552,2.266,7.915,2.811,2.851,2.8
420,42,2.717,2.463,2.478,2.944,7.979,2.734,3.142,2.649
421,42.1,2.689,2.504,2.515,2.445,8.006,2.976,3.1,2.843
422,42.2,3.247,2.089,2.41,2.581,8.082,3.014,3.484,3.105
423,42.3,2.375,1.717,2.195,2.7,8.153,2.962,3.357,3.369
424,42.4,2.402,1.737,2.215,2.596,7.919,3.041,3.335,4.123
425,42.5,4.633,1.905,2.023,2.821,7.644,2.752,3.07,3.033
426,42.6,3.724,1.692,2.416,2.926,7.85,2.995,3.179,2.796
427,42.7,2.86,1.5,2.115,2.863,7.888,3.058,3.009,2.599
428,42.8,1.932,1.647,2.391,2.886,7.92,3.083,2.888,4.462
429,42.9,2.136,1.778,2.337,2.339,7.671,3.056,3.175,4.201
430,43,2.6,1.92,2.273,2.3,7.831,3.018,3.554,4.133
431,43.1,2.764,1.729,1.838,2.578,7.996,2.939,3.299,4.206
432,43.2,2.393,1.765,1.937,2.851,7.442,2.825,3.101,4.226
433,43.3,2.36,1.824,2.037,2.557,7.704,2.993,3.076,4.338
434,43.4,2.729,1.803,1.953,2.157,7.691,3.181,2.915,4.508
435,43.5,2.394,1.64,2.039,2.393,7.646,3.822,2.829,4.503
436,43.6,2.086,1.82,2.069,2.206,7.423,2.854,3.233,2.885
437,43.7,2.243,2.074,2.268,2.732,7.669,2.732,2.921,2.904
438,43.8,2.451,2.117,2.327,3.038,7.676,2.778,3.07,4.439
439,43.9,2.459,2.007,2.137,2.697,7.657,3.208,2.806,3.098
440,44,2.813,1.516,2.105,2.702,7.895,3.279,2.949,3.197
441,44.1,2.403,1.972,2.043,2.848,7.792,3.074,3.017,4.899
442,44.2,2.669,1.594,2.065,2.274,8.095,3.203,2.837,3.195
443,44.3,2.106,1.463,2.401,2.94,7.973,3.301,3.061,4.299
444,44.4,2.286,1.942,2.126,2.716,8.012,3.149,3.376,3.037
445,44.5,1.562,1.634,2.044,3.076,7.73,3.448,3.43,2.958
446,44.6,2.343,1.252,1.969,2.706,7.823,3.162,3.536,2.845
447,44.7,2.015,1.439,2.335,2.767,7.86,3.431,3.821,3.062
448,44.8,1.586,1.375,2.406,2.548,8.172,3.761,3.404,3.093
449,44.9,2.563,1.566,2.444,1.553,8.113,2.556,3.436,3.758
450,45,1.81,1.714,2.14,1.818,8.393,3.231,2.946,4.328
451,45.1,2.165,1.359,2.596,1.655,8.186,3.276,3.76,4.355
452,45.2,1.655,1.099,2.462,1.593,8.076,3.14,3.222,3.831
453,45.3,1.683,1.458,2.116,1.775,7.887,3.266,3.205,3.983
454,45.4,1.784,1.221,2.088,1.38,7.766,3.201,3.378,3.674
455,45.5,1.807,1.223,2.528,1.239,7.906,3.047,3.437,2.941
456,45.6,1.829,1.391,2.44,1.517,7.752,3.099,3.363,2.947
457,45.7,1.563,1.453,2.474,1.693,7.742,3.093,3.302,3.228
458,45.8,1.672,1.267,2.423,1.19,7.699,3.183,3.41,3.003
459,45.9,1.459,1.209,2.264,1.301,8.01,2.999,3.165,3.05
460,46,1.625,1.661,2.495,1.316,7.991,2.999,2.908,2.948
461,46.1,1.911,1.656,2.416,1.149,7.754,3.168,3.256,4.956
462,46.2,1.662,1.991,1.817,1.757,7.776,3.072,3.312,4.408
463,46.3,1.779,2,2.121,1.497,7.508,2.308,3.432,4.499
464,46.4,1.549,2.064,2.451,1.725,7.82,2.99,3.422,4.351
465,46.5,1.661,1.896,2.603,1.754,8.062,2.657,3.385,4.377
466,46.6,1.845,1.886,2.362,1.159,8.07,3.123,3.074,4.517
467,46.7,1.394,1.598,2.137,1.039,7.479,2.869,3.142,4.309
468,46.8,1.528,1.387,2.328,1.39,7.906,3.615,3.574,4.37
469,46.9,1.375,1.067,2.284,0.897,7.789,1.721,2.675,4.229
470,47,1.687,1.049,1.934,1.33,7.929,1.404,3.306,4.214
471,47.1,1.718,1.294,2.096,1.115,7.808,1.282,3.305,4.337
472,47.2,1.693,1.451,2.068,1.196,7.819,1.938,3.349,2.966
473,47.3,1.469,1.509,2.568,1.041,7.787,1.562,2.8,2.964
474,47.4,1.821,1.356,2.144,1.391,7.942,1.546,3.729,3.025
475,47.5,1.816,1.714,1.977,1.097,7.97,1.421,3.293,2.924
476,47.6,1.849,1.802,2.234,1.286,7.829,1.475,2.435,2.871
477,47.7,2.092,1.698,2.239,1.391,8.039,1.422,3.155,2.934
478,47.8,1.69,1.444,2.067,1.507,7.733,1.361,3.484,2.961
479,47.9,1.35,1.454,2.458,1.352,7.906,1.563,3.182,2.925
480,48,1.679,1.778,2.151,0.775,7.743,2.035,2.729,2.979
481,48.1,1.48,1.717,2.506,1.542,7.92,1.406,2.917,3.337
482,48.2,1.691,1.758,2.26,1.798,7.972,1.607,3.375,2.791
483,48.3,1.436,1.404,2.355,1.461,7.623,1.582,2.972,2.766
484,48.4,1.502,1.785,2.492,1.389,8.003,2.815,3.638,2.992
485,48.5,1.488,1.645,2.373,1.217,8.112,1.782,3.285,3.045
486,48.6,1.997,1.564,2.597,1.206,7.771,2.221,3.159,4.551
487,48.7,1.937,1.915,2.141,1.03,7.814,2.253,3.403,4.329
488,48.8,2.724,1.707,2.297,1.124,8.24,2.403,3.72,4.411
489,48.9,2.828,1.69,2.327,1.447,7.51,2.25,3.316,4.283
490,49,2.325,1.952,2.161,1.1,7.76,1.748,3.609,3.822
491,49.1,2.558,1.761,2.22,1.206,7.828,1.413,3.255,3.918
492,49.2,2.859,1.995,2.423,1.488,7.827,1.828,3.187,4.591
493,49.3,2.658,1.49,2.239,1.026,7.806,2.096,3.249,4.34
494,49.4,2.588,1.205,2.387,1.603,7.797,1.861,3.241,4.411
495,49.5,2.529,1.703,2.279,1.247,7.843,1.777,3.276,4.016
496,49.6,2.047,1.979,2.159,1.121,7.636,2.1,3.598,4.162
497,49.7,2.331,2.453,2.053,1.291,7.587,2.246,3.324,4.267
498,49.8,1.992,2.135,2.058,1.292,7.474,2.286,3.306,4.11
499,49.9,2.032,1.859,2.072,1.261,7.674,1.891,3.07,4.123
500,50,1.84,1.804,2.209,0.986,7.632,2.061,2.698,2.687
501,50.1,2.324,1.51,2.547,1.139,7.718,2.549,2.908,3.336
502,50.2,1.764,1.659,2.36,1.609,7.601,2.418,2.925,4.217
503,50.3,1.516,1.749,2.507,1.017,7.923,2.277,2.912,4.033
504,50.4,1.43,1.927,2.527,1.582,7.779,1.755,3.497,4.226
505,50.5,1.727,1.734,2.496,1.237,7.514,2.614,3.202,4.35
506,50.6,1.821,2.074,2.359,1.335,7.686,1.705,3.037,3.847
507,50.7,1.568,1.513,2.242,1.098,7.766,1.618,3.453,4.237
508,50.8,1.589,2.039,2.102,1.391,7.467,1.552,3.385,4.026
509,50.9,1.704,1.295,2.084,1.022,8.15,1.42,3.347,4.25
510,51,1.372,1.937,2.116,1.239,8.054,1.536,3.252,4.234
511,51.1,2.64,1.787,1.944,1.136,8.083,1.563,3.18,4.132
512,51.2,2.533,1.786,2.393,1.103,7.894,1.496,3.768,4.117
513,51.3,3.143,1.573,1.956,1.944,8.13,1.638,2.966,4.178
514,51.4,2.707,1.723,2.406,1.598,7.856,2.482,3.347,4.321
515,51.5,2.798,1.769,2.437,1.88,7.309,2.63,2.845,4.134
516,51.6,2.071,1.554,2.542,1.342,7.647,1.552,3.519,4.005
517,51.7,1.855,1.455,2.169,1.115,7.593,2.381,3.392,4.287
518,51.8,1.713,1.898,2.629,1.043,7.675,2.4,3.072,4.25
519,51.9,1.905,1.476,2.207,1.391,7.584,1.991,3.617,4.285
520,52,2.125,1.672,1.863,1.685,7.638,2.024,3.348,3.865
521,52.1,1.836,1.932,2.349,1.834,8.038,1.641,3.315,2.931
522,52.2,1.938,1.386,2.381,1.965,7.935,1.514,3.74,3.967
523,52.3,1.722,1.079,2.125,1.258,7.625,1.362,3.465,4.143
524,52.4,1.899,1.348,1.987,1.38,7.863,1.2,3.034,4.033
525,52.5,2.092,1.746,2.134,1.096,7.8,1.202,3.322,4.023
526,52.6,2.409,1.574,2.364,1.604,7.959,1.26,3.304,4.26
527,52.7,2.697,1.765,2.555,1.093,7.922,1.412,3.397,4.286
528,52.8,2.335,1.614,2.376,1.229,7.887,1.346,3.418,3.957
529,52.9,2.794,1.375,2.516,1.248,7.672,1.137,3.631,4.313
530,53,2.415,1.836,2.528,1.435,7.877,1.323,3.235,4.439
531,53.1,2.594,1.299,2.137,1.266,8.037,1.543,3.107,4.108
532,53.2,2.863,1.313,2.28,1.703,7.869,1.812,3.573,4.245
533,53.3,2.144,1.41,2.405,1.97,7.97,1.857,2.859,3.214
534,53.4,2.568,1.305,2.217,1.689,7.548,2.315,3.036,4.29
535,53.5,2.837,1.407,2.419,1.244,7.682,2.393,3.324,2.824
536,53.6,2.796,1.746,1.673,1.634,7.509,2.486,3.184,3.126
537,53.7,2.343,1.747,2.181,1.948,7.95,2.395,3.164,3.205
538,53.8,2.711,1.447,2.54,1.284,7.973,2.646,2.946,3.09
539,53.9,2.797,1.345,2.177,1.571,7.903,2.187,2.984,4.094
540,54,2.823,1.445,2.246,1.384,8.289,2.154,3.129,3.417
541,54.1,2.451,1.767,1.911,1.729,7.987,2.611,3.359,2.819
542,54.2,2.146,1.501,2.24,1.592,8.053,2.317,3.119,2.757
543,54.3,2.353,1.636,2.788,1.85,7.86,2.401,3.157,3.391
544,54.4,2.424,1.384,2.247,1.207,7.645,2.469,2.805,4.094
545,54.5,2.949,1.844,2.679,0.963,7.599,2.12,3.224,2.682
546,54.6,2.498,1.721,2.043,1.264,7.823,2.624,3.178,3.893
547,54.7,2.363,1.398,2.559,0.962,7.729,2.407,3.188,4.183
548,54.8,2.617,1.473,1.878,1.437,7.705,2.547,3.282,3.981
549,54.9,2.522,1.368,2.487,1.407,7.828,1.651,3.056,3.138
550,55,2.508,1.304,1.931,1.613,7.73,1.66,3.544,4.039
551,55.1,2.48,1.518,1.988,1.402,7.882,1.667,2.997,3.751
552,55.2,2.832,1.386,1.841,1.574,7.731,2.325,3.573,4.439
553,55.3,2.593,1.749,2.238,1.797,7.589,2.448,3.359,4.196
554,55.4,2.971,1.44,2.201,1.478,7.935,2.465,3.202,4.325
555,55.5,3.295,1.321,2.38,1.448,7.958,2.591,2.878,4.372
556,55.6,3.032,1.639,2.146,1.56,7.765,1.987,3.485,4.205
557,55.7,2.232,0.872,1.978,1.856,8.219,1.845,2.98,4.078
558,55.8,3.251,0.953,2.055,1.258,8.08,1.951,3.43,4.512
559,55.9,2.337,1.578,2.121,1.105,8.167,0.957,3.537,3.467
560,56,3.195,0.877,2.283,1.402,7.589,1.137,3.337,4.415
561,56.1,2.366,0.886,2.131,1.374,8.003,1.037,3.487,4.001
562,56.2,2.077,1.697,2.212,1.332,7.83,1.245,3.076,4.188
563,56.3,2.702,1.467,2.025,1.29,7.711,1.307,3.434,4.109
564,56.4,2.781,1.364,2.197,1.214,7.852,0.958,3.324,3.986
565,56.5,3.069,1.345,2.336,1.322,8.113,1.404,3.115,4.454
566,56.6,2.521,1.654,2.04,1.434,8.103,1.091,3.497,4.02
567,56.7,3.414,1.11,1.91,1.172,7.822,1.258,3.018,4.201
568,56.8,3.492,1.479,1.943,0.983,8.145,1.069,3.012,4.052
569,56.9,2.893,1.22,2.281,1.169,7.932,1.079,3.557,4.073
570,57,2.092,1.272,1.794,1.119,7.933,1.399,3.082,4.469
571,57.1,2.134,1.233,2.014,1.122,8.022,0.965,3.24,4.117
572,57.2,1.138,1.034,1.717,1.478,8.036,1.123,3.406,3.85
573,57.3,1.313,1.692,2.064,0.931,7.901,1.192,2.98,4.108
574,57.4,1.381,1.254,1.888,1.691,7.572,1.163,3.166,4.356
575,57.5,2.157,1.552,1.651,1.329,7.928,1.311,3.502,3.763
576,57.6,1.063,1.341,1.805,1.697,7.645,1.113,3.037,4.191
577,57.7,0.777,1.306,2.082,1.348,7.824,1.209,2.975,4.23
578,57.8,1.106,1.885,2.043,1.811,8.036,1.742,3.128,4.427
579,57.9,1.387,1.687,1.659,1.614,7.887,1.625,3.085,4.009
580,58,1.346,1.661,2.166,1.813,7.782,1.816,3.133,3.896
581,58.1,1.213,1.447,2.131,1.803,7.913,1.685,3.084,3.964
582,58.2,1.197,1.692,2.394,1.688,7.742,1.777,3.07,4.099
583,58.3,1.261,1.253,2.189,1.731,8.117,1.587,3.474,3.747
584,58.4,1.223,1.817,2.289,1.464,7.65,1.974,3.022,3.267
585,58.5,1.076,1.669,2.105,1.453,7.486,1.763,2.833,2.954
586,58.6,1.166,1.551,2.102,1.953,7.436,1.64,3.083,2.794
587,58.7,1.481,1.464,2.095,1.166,7.824,1.687,3.019,3.379
588,58.8,1.125,0.895,2.02,1.268,7.761,1.723,2.952,3.181
589,58.9,0.966,1.497,2.151,1.843,7.752,1.072,3.431,2.852
590,59,0.923,0.971,2.149,1.315,7.825,1.019,2.912,2.966
591,59.1,1,1.108,2.437,1.048,7.437,1.217,3.1,2.388
592,59.2,0.992,1.24,2.553,1.319,7.553,1.12,2.994,2.844
593,59.3,0.979,1.646,2.148,1.277,7.73,1.142,3.205,2.92
594,59.4,0.682,1.952,2.303,1.771,7.566,1.193,3.112,3.466
595,59.5,1.263,1.582,2.399,1.491,7.366,1.385,3.022,2.724
596,59.6,0.94,1.715,2.275,1.638,7.514,1.364,2.97,3.25
597,59.7,1.169,1.216,2.404,1.408,7.601,1.162,2.965,3.137
598,59.8,1.268,1.58,2.153,1.691,7.689,1.062,2.827,2.56
599,59.9,1.284,1.658,2.289,1.509,7.454,1.066,3.003,4.068
600,60,1.395,1.791,2.216,2.434,7.521,1.017,3.179,4.036
601,60.1,1.508,1.472,2.567,2.145,7.503,1.1,3.98,4.203
602,60.2,1.498,1.596,2.605,1.862,7.366,1.201,3.259,3.958
603,60.3,1.418,1.754,2.64,1.938,7.679,1.173,3.654,4.147
604,60.4,1.34,1.518,2.11,1.59,7.729,1.05,3.048,3.946
605,60.5,1.5,1.273,2.644,1.747,7.734,1.057,3.428,4.298
606,60.6,1.298,1.056,2.269,1.649,7.525,0.976,3.259,4.135
607,60.7,1.316,1.29,2.479,2.109,7.631,1.436,3.003,3.361
608,60.8,1.427,0.979,2.174,1.906,7.654,1.126,3.129,4.043
609,60.9,1.323,0.796,2.281,1.424,7.693,1.318,3.536,4.245
610,61,1.245,1.784,2.614,1.23,7.463,1.129,3.397,3.993
611,61.1,1.318,1.622,2.458,1.511,7.479,0.947,3.433,4.01
612,61.2,1.297,1.387,2.58,1.297,7.601,1.344,3.403,3.946
613,61.3,1.214,1.504,2.32,1.322,7.609,0.921,3.17,3.908
614,61.4,1.429,0.966,2.26,1.73,7.628,1.168,3.188,3.937
615,61.5,1.391,1.6,2.528,2.029,7.902,1.38,3.434,4.341
616,61.6,1.518,1.346,2.36,1.224,7.674,1.309,3.575,4.513
617,61.7,1.385,1.229,2.396,1.319,7.55,1.197,3.232,4.209
618,61.8,1.571,0.947,2.427,1.267,7.799,1.305,3.624,4.179
619,61.9,1.84,1.563,2.32,0.909,7.845,1.496,3.578,3.117
620,62,1.923,1.791,2.48,2.005,7.51,1.05,3.246,3.31
621,62.1,1.542,1.146,2.348,1.54,7.701,1.322,3.308,4.067
622,62.2,1.857,1.071,2.507,1.517,7.368,1.169,3.233,4.23
623,62.3,1.872,1.212,2.226,1.758,7.444,0.873,3.639,4.26
624,62.4,2.742,1.371,2.735,1.711,7.333,0.9,3.054,4.032
625,62.5,2.808,1.137,2.362,1.579,7.561,0.754,3.684,3.956
626,62.6,1.975,1.153,2.356,1.693,7.627,0.98,3.588,3.595
627,62.7,2.174,1.04,2.247,1.834,7.729,1.023,3.359,4.248
628,62.8,2.365,1.217,2.396,1.344,7.637,1.199,3.458,4.303
629,62.9,2.356,1.183,2.638,1.114,7.598,0.812,2.956,4.178
630,63,2.499,1.421,3.017,1.01,7.26,0.701,3.063,4.356
631,63.1,2.314,0.94,2.567,1.104,7.733,1.016,3.397,3.976
632,63.2,2.592,0.823,2.435,1.325,7.757,1.223,3.329,4.083
633,63.3,2.598,0.992,2.268,1.198,7.657,0.981,3.261,4.065
634,63.4,2.834,0.757,2.358,1.12,7.749,1.188,3.13,3.966
635,63.5,2.229,0.987,2.375,1.616,7.785,1.137,3.336,4.111
636,63.6,2.367,2.273,2.289,1.567,7.738,1.107,3.213,3.979
637,63.7,2.646,1.713,2.35,1.391,7.969,1.291,3.731,4.206
638,63.8,2.637,2.195,2.699,0.988,7.663,1.051,3.483,4.266
639,63.9,2.182,1.855,2.496,1.346,7.769,0.911,3.139,3.922
640,64,2.606,2.366,2.486,1.644,7.724,1.401,3.399,2.839
641,64.1,2.38,2.308,2.722,1.192,7.671,0.911,3.402,4.241
642,64.2,2.432,2.86,2.563,1.166,7.701,1.196,3.307,3.938
643,64.3,2.406,2.511,2.633,1.323,7.549,1.232,3.058,4.302
644,64.4,2.45,2.891,2.405,1.225,7.819,1.292,3.072,3.965
645,64.5,2.089,2.859,2.496,1.417,7.914,1.333,3.272,4.267
646,64.6,2.043,3.099,2.318,1.422,7.751,1.262,3.561,2.552
647,64.7,2.327,2.874,2.208,1.181,7.753,0.921,3.117,2.38
648,64.8,2.49,2.811,2.202,1.021,7.746,1.434,2.926,2.63
649,64.9,2.501,3.076,2.399,1.617,7.685,1.799,2.269,3.819
650,65,3.361,3.13,2.595,1.508,7.799,2.151,2.471,2.538
651,65.1,2.579,2.671,2.439,1.784,7.956,2.158,2.524,3.839
652,65.2,2.615,2.781,2.574,1.454,7.997,1.817,2.26,3.616
653,65.3,1.854,3.293,2.848,1.513,7.871,1.489,2.955,4.092
654,65.4,1.842,3.283,2.414,1.126,8.043,1.747,2.58,3.532
655,65.5,1.741,2.865,2.677,1.573,7.751,1.363,2.452,3.559
656,65.6,1.957,2.741,2.387,1.472,7.666,1.529,2.569,3.92
657,65.7,1.942,2.707,2.249,1.616,7.715,1.841,2.35,4.083
658,65.8,1.614,2.998,2.426,1.312,7.569,1.121,2.522,3.986
659,65.9,1.755,2.954,2.403,1.516,7.906,1.315,2.941,3.74
660,66,1.843,3.027,2.714,1.425,7.971,1.406,2.888,3.032
661,66.1,1.655,2.853,2.905,1.461,7.911,1.219,2.862,2.101
662,66.2,1.77,2.3,2.513,1.534,7.939,1.431,2.871,4.437
663,66.3,1.732,2.089,2.679,1.301,7.619,1.421,3.316,3.992
664,66.4,1.774,2.853,2.557,1.195,7.576,1.789,2.685,3.735
665,66.5,1.872,2.728,2.469,1.179,7.742,1.178,3.344,4.595
666,66.6,1.854,2.614,2.576,1.255,7.783,1.171,2.641,4.378
667,66.7,1.915,2.668,3.006,1.114,7.834,1.086,2.956,3.778
668,66.8,1.656,2.292,2.529,1.11,7.987,1.344,3.333,4.416
669,66.9,1.655,2.792,2.723,1.231,7.605,1.429,3.565,4.171
670,67,2.056,2.108,2.398,0.994,8.036,1.501,3.422,4.394
671,67.1,2.103,2.095,2.492,1.252,7.807,1.4,3.208,4.234
672,67.2,1.792,2.743,2.416,1.385,8.114,1.484,3.454,4.022
673,67.3,1.702,2.508,2.543,1.47,7.841,1.332,3.481,3.901
674,67.4,1.761,2.777,2.365,1.253,7.985,1.326,2.973,4.05
675,67.5,1.854,2.416,2.648,1.365,7.872,1.451,3.37,3.886
676,67.6,1.63,2.876,2.632,1.111,8.101,2.232,2.954,4.467
677,67.7,1.926,2.491,2.72,1.287,8.098,1.842,3.394,3.02
678,67.8,2.068,2.528,1.972,0.929,8.253,1.883,3.083,2.824
679,67.9,1.998,2.612,2.56,1.03,8.42,1.652,2.949,2.286
680,68,2.281,3.142,2.324,1.343,8.313,1.16,3.368,2.196
681,68.1,2.259,2.788,2.581,1.505,8.334,1.284,3.3,2.437
682,68.2,1.783,3.088,2.68,1.26,8.333,1.143,3.524,2.152
683,68.3,1.795,2.711,2.689,1.459,8.401,1.293,3.656,2.253
684,68.4,1.683,2.472,2.481,1.15,8.24,1.34,2.908,2.223
685,68.5,1.581,2.673,2.361,1.159,7.929,0.97,3.043,2.228
686,68.6,1.62,2.299,2.409,1.235,7.899,1.263,3.34,2.185
687,68.7,1.455,2.596,2.237,1.297,8.025,1.38,3.272,2.151
688,68.8,1.735,2.957,2.004,1.406,8.222,1.441,3.13,1.961
689,68.9,1.794,2.877,2.08,1.124,8.345,1.339,3.504,2.38
690,69,1.722,2.849,2.142,1.218,8.155,1.246,3.214,2.14
691,69.1,1.934,2.613,2.252,1.179,7.602,1.184,3.768,2.029
692,69.2,1.885,3.093,2.303,1.459,7.996,1.141,3.402,2.459
693,69.3,1.815,2.798,1.947,1.371,7.83,1.986,3.266,2.339
694,69.4,1.932,2.943,1.862,1.88,7.964,2.334,3.121,2.209
695,69.5,2.019,3.142,2.194,1.502,7.883,2.323,3.27,2.364
696,69.6,1.991,2.828,2.535,2.146,7.656,2.149,3.207,2.308
697,69.7,2.084,2.713,2.734,1.66,8.059,1.144,2.928,2.597
698,69.8,2.069,2.825,2.321,1.729,7.877,1.226,3.053,2.2
699,69.9,1.89,2.919,2.179,1.168,7.998,1.184,3.668,1.91
700,70,1.965,2.913,2.329,1.547,8.159,1.243,3.451,2.269
701,70.1,1.783,2.753,2.548,1.921,7.619,1.124,3.136,2.371
702,70.2,1.798,2.757,1.642,2.09,7.881,1.305,3.603,2.219
703,70.3,1.942,2.769,2.069,1.396,7.943,1.352,3.644,2.246
704,70.4,1.882,2.888,2.397,1.008,7.634,1.131,2.735,2.295
705,70.5,2.19,2.686,2.582,1.722,7.815,0.92,2.925,1.913
706,70.6,1.776,3.067,2.399,1.428,8.008,1.085,3.02,2.03
707,70.7,2.246,2.661,2.39,1.343,7.835,1.458,3.365,2.052
708,70.8,2.103,2.386,2.442,2.072,7.793,1.374,3.434,2.194
709,70.9,1.812,1.919,2.403,2.172,7.682,1.081,3.632,2.454
710,71,1.597,1.687,2.69,2.124,7.756,1.386,3.631,2.398
711,71.1,1.974,2.811,2.655,2.788,7.791,1.258,3.633,2.088
712,71.2,1.646,2.899,1.768,2.592,7.736,1.576,3.858,2.111
713,71.3,2.019,2.761,2.352,2.599,7.899,1.345,3.503,2.042
714,71.4,1.608,3.033,2.717,2.551,7.831,1.366,3.387,2.213
715,71.5,1.6,2.708,2.682,2.96,7.729,1.632,3.168,2.028
716,71.6,1.752,2.62,2.493,3.176,7.747,1.111,3.694,2.053
717,71.7,1.849,1.871,2.847,2.84,7.361,1.162,2.973,2.711
718,71.8,1.858,2.629,2.697,2.507,7.96,1.449,3.264,2.442
719,71.9,1.645,2.795,2.942,2.61,7.934,1.259,3.344,2.854
720,72,2.017,1.913,2.836,3.158,7.736,1.154,3.122,2.632
721,72.1,1.803,2.881,2.625,3.574,7.595,1.245,3.036,2.464
722,72.2,1.581,2.746,2.735,2.996,8.052,1.487,3.027,2.574
723,72.3,1.835,2.789,2.682,3.31,7.816,1.967,3.191,2.776
724,72.4,1.474,3.035,2.579,2.502,7.952,2.127,3.217,2.56
725,72.5,1.648,2.897,2.443,2.775,7.622,1.443,3.106,2.613
726,72.6,1.835,2.651,2.602,2.25,7.715,1.616,3.05,2.79
727,72.7,2.229,2.96,2.3,2.272,7.418,1.345,3.17,3.073
728,72.8,2.163,2.955,2.32,2.47,8.093,1.23,3.282,2.66
729,72.9,1.75,2.661,2.541,2.448,7.806,1.27,3.358,2.817
730,73,1.997,3.008,2.81,2.715,7.997,1.153,2.897,2.795
731,73.1,2.04,2.886,2.719,2.402,7.984,1.245,3.552,2.867
732,73.2,2.016,2.955,2.594,2.366,7.771,1.271,2.946,2.845
733,73.3,1.671,3.072,2.48,2.439,7.616,1.212,2.995,2.665
734,73.4,2.391,3.089,2.442,2.401,7.857,1.315,3.484,2.485
735,73.5,2.722,2.583,2.746,2.815,7.579,1.294,3.544,3.184
736,73.6,2.485,1.775,3.157,2.79,7.7,1.206,3.384,2.646
